,,,,,Turns,,,,,,,,,,,,,,,,
10,5,10,8,0,22,0,100,38,1,30,0,2,77,5,3,10,0,4,96,45, 
10,5,10,9,0,30,0,100,23,1,47,0,2,76,15,3,60,21,4,56,15, 
10,5,10,9,0,20,0,33,0,1,93,5,2,98,29,3,100,18,4,31,12, 
10,5,10,9,0,33,0,54,15,1,61,3,2,100,31,3,74,5,4,75,38, 
10,5,10,8,0,23,0,86,3,1,62,5,2,95,27,3,99,47,4,100,22, 
10,5,10,7,0,35,0,100,33,1,26,5,2,88,15,3,33,10,4,35,9, 
10,5,10,8,0,26,0,11,5,1,10,0,2,91,11,3,100,5,4,67,12, 
10,5,10,8,0,33,0,58,14,1,83,15,2,74,8,3,100,56,4,86,28, 
10,5,10,9,0,25,0,79,30,1,29,0,2,65,15,3,93,31,4,100,13, 
10,5,10,9,0,24,0,30,0,1,22,9,2,30,19,3,100,0,4,52,6, 
10,5,10,9,0,24,0,99,37,1,38,6,2,100,50,3,92,15,4,97,10, 
10,5,10,9,0,16,0,7,0,1,42,22,2,44,32,3,7,0,4,100,20, 
10,5,10,9,0,27,0,99,38,1,26,0,2,87,26,3,45,5,4,100,27, 
10,5,10,9,1,28,0,100,32,1,58,22,2,99,0,3,99,15,4,37,8, 
10,5,10,8,1,26,0,52,4,1,31,5,2,100,15,3,15,5,4,81,17, 
10,5,10,9,0,36,0,99,29,1,58,0,2,100,26,3,42,12,4,98,18, 
10,5,10,8,0,19,0,38,0,1,100,35,2,92,26,3,12,5,4,38,5, 
10,5,10,7,0,31,0,45,15,1,54,7,2,66,15,3,54,28,4,100,11, 
10,5,10,8,0,28,0,27,5,1,19,0,2,81,14,3,100,10,4,61,20, 
10,5,10,8,0,37,0,74,0,1,54,25,2,100,44,3,99,3,4,48,9, 
10,5,10,8,0,20,0,87,14,1,96,10,2,100,18,3,45,10,4,9,0, 
10,5,10,8,0,40,0,55,19,1,75,5,2,98,27,3,100,9,4,99,14, 
10,5,10,8,0,34,0,96,54,1,100,19,2,25,0,3,59,27,4,56,18, 
10,5,10,8,0,34,0,55,0,1,71,18,2,55,5,3,100,15,4,93,15, 
10,5,10,8,0,24,0,77,7,1,10,0,2,42,0,3,77,14,4,100,28, 
10,5,10,8,0,40,0,94,21,1,90,12,2,88,5,3,99,15,4,100,30, 
10,5,10,8,0,21,0,65,2,1,86,30,2,25,0,3,49,40,4,100,15, 
10,5,10,8,0,14,0,41,6,1,75,16,2,87,18,3,29,5,4,100,16, 
10,5,10,8,0,24,0,94,10,1,55,5,2,100,12,3,88,0,4,5,1, 
10,5,10,13,0,41,0,73,19,1,39,0,2,100,45,3,97,5,4,39,5, 
10,5,10,8,1,28,0,31,8,1,42,7,2,49,5,3,61,5,4,100,5, 
10,5,10,8,0,14,0,36,0,1,63,2,2,100,5,3,31,0,4,50,0, 
10,5,10,8,0,14,0,18,11,1,86,13,2,59,21,3,100,13,4,29,0, 
10,5,10,7,0,24,0,96,19,1,86,10,2,100,19,3,59,22,4,98,24, 
10,5,10,12,0,22,0,95,15,1,2,0,2,2,0,3,100,22,4,2,0, 
10,5,10,28,0,33,0,50,15,1,99,33,2,100,25,3,99,18,4,99,20, 
10,5,10,8,0,22,0,100,33,1,50,9,2,96,29,3,13,0,4,43,14, 
10,5,10,8,0,18,0,100,21,1,81,3,2,97,15,3,23,10,4,58,11, 
10,5,10,7,1,28,0,41,5,1,71,9,2,70,21,3,97,5,4,100,6, 
10,5,10,8,0,26,0,53,10,1,87,10,2,100,49,3,84,34,4,60,15, 
10,5,10,8,0,29,0,99,22,1,78,20,2,99,18,3,100,48,4,37,10, 
10,5,10,8,0,9,0,100,9,1,72,0,2,31,15,3,27,10,4,28,0, 
10,5,10,8,0,24,0,59,22,1,100,18,2,80,10,3,77,20,4,34,9, 
10,5,10,8,0,19,0,100,7,1,91,24,2,96,20,3,38,0,4,11,0, 
10,5,10,8,0,23,0,10,2,1,10,0,2,10,0,3,37,3,4,100,22, 
10,5,10,13,0,30,0,98,0,1,100,6,2,2,0,3,99,52,4,97,53, 
10,5,10,8,0,59,0,97,9,1,99,6,2,100,5,3,44,11,4,95,9, 
10,5,10,9,0,20,0,100,0,1,34,5,2,60,14,3,23,1,4,75,12, 
10,5,10,8,0,40,0,99,10,1,75,15,2,99,17,3,100,24,4,54,10, 
10,5,10,9,0,23,0,79,34,1,100,83,2,40,13,3,71,6,4,68,10, 
10,5,10,8,0,21,0,40,18,1,100,20,2,31,21,3,99,18,4,25,0, 
10,5,10,8,0,25,0,62,11,1,4,0,2,93,19,3,47,5,4,100,12, 
10,5,10,8,0,29,0,99,52,1,98,35,2,90,11,3,100,60,4,99,30, 
10,5,10,8,1,44,0,86,32,1,54,3,2,98,40,3,100,39,4,75,16, 
10,5,10,8,1,25,0,51,4,1,100,4,2,22,5,3,71,21,4,29,0, 
10,5,10,8,0,19,0,68,23,1,95,34,2,37,12,3,79,19,4,100,31, 
10,5,10,8,0,24,0,20,0,1,64,26,2,100,15,3,68,11,4,98,20, 
10,5,10,8,0,25,0,21,7,1,38,13,2,100,44,3,80,8,4,53,8, 
10,5,10,8,0,24,0,100,40,1,65,7,2,15,0,3,71,16,4,54,15, 
10,5,10,8,0,27,0,100,41,1,45,15,2,3,5,3,23,8,4,87,5, 
10,5,10,7,1,21,0,15,2,1,55,17,2,15,1,3,78,15,4,100,16, 
10,5,10,9,0,23,0,100,12,1,82,15,2,65,0,3,41,0,4,30,0, 
10,5,10,8,0,28,0,100,19,1,17,0,2,69,21,3,21,0,4,83,0, 
10,5,10,9,0,42,0,95,5,1,100,22,2,49,5,3,46,21,4,89,15, 
10,5,10,9,0,16,0,86,5,1,100,19,2,63,7,3,29,7,4,53,9, 
10,5,10,8,0,12,0,46,0,1,15,0,2,5,0,3,100,22,4,42,0, 
10,5,10,8,0,25,0,27,0,1,100,16,2,81,0,3,65,26,4,95,6, 
10,5,10,10,0,30,0,52,8,1,94,15,2,100,5,3,55,6,4,78,20, 
10,5,10,7,0,20,0,36,5,1,96,25,2,66,24,3,41,0,4,100,60, 
10,5,10,9,0,11,0,24,7,1,100,10,2,10,0,3,39,0,4,22,0, 
10,5,10,9,0,60,0,100,25,1,81,7,2,69,15,3,63,21,4,53,15, 
10,5,10,9,0,34,0,100,25,1,30,10,2,71,13,3,81,13,4,71,19, 
10,5,10,8,0,19,0,100,47,1,98,0,2,57,5,3,20,0,4,22,5, 
10,5,10,9,0,25,0,51,10,1,93,0,2,51,17,3,100,21,4,33,6, 
10,5,10,8,0,18,0,71,29,1,47,11,2,100,28,3,84,21,4,21,9, 
10,5,10,9,0,24,0,28,5,1,51,10,2,100,29,3,99,15,4,28,0, 
10,5,10,9,0,18,0,47,0,1,47,3,2,23,12,3,23,5,4,100,9, 
10,5,10,8,0,26,0,91,20,1,100,43,2,31,8,3,32,0,4,52,3, 
10,5,10,9,0,15,0,100,12,1,25,1,2,48,0,3,15,0,4,19,0, 
10,5,10,9,0,19,0,5,0,1,20,4,2,100,27,3,26,0,4,39,5, 
10,5,10,9,0,26,0,46,5,1,79,10,2,46,0,3,96,16,4,100,61, 
10,5,10,8,0,22,0,50,9,1,96,43,2,31,18,3,78,14,4,100,5, 
10,5,10,9,0,31,0,61,5,1,74,23,2,100,32,3,44,5,4,69,41, 
10,5,10,9,0,38,0,88,24,1,94,21,2,95,26,3,99,37,4,100,25, 
10,5,10,8,0,32,0,22,5,1,99,32,2,99,8,3,100,20,4,43,6, 
10,5,10,8,0,43,0,88,27,1,78,30,2,82,5,3,100,37,4,97,34, 
10,5,10,8,0,31,0,74,25,1,25,0,2,10,0,3,100,22,4,95,44, 
10,5,10,9,0,18,0,53,27,1,100,37,2,6,0,3,97,20,4,88,5, 
10,5,10,8,0,51,0,99,33,1,95,26,2,99,38,3,100,34,4,58,5, 
10,5,10,9,0,30,0,82,17,1,32,7,2,88,5,3,100,114,4,72,14, 
10,5,10,12,0,30,0,100,46,1,80,25,2,97,34,3,76,21,4,80,28, 
10,5,10,15,0,22,0,86,16,1,99,40,2,84,29,3,84,39,4,100,47, 
10,5,10,9,0,19,0,100,9,1,72,15,2,74,9,3,12,6,4,50,5, 
10,5,10,8,1,31,0,71,13,1,95,9,2,100,17,3,49,0,4,41,0, 
10,5,10,10,0,15,0,61,19,1,48,5,2,50,10,3,100,7,4,35,10, 
10,5,10,8,0,35,0,55,5,1,35,0,2,100,30,3,99,5,4,35,7, 
10,5,10,8,0,41,0,71,26,1,100,21,2,95,25,3,97,11,4,97,10, 
10,5,10,8,0,24,0,36,10,1,40,5,2,4,0,3,98,60,4,100,0, 
10,5,10,9,0,40,0,35,11,1,100,17,2,55,16,3,99,36,4,96,44, 
10,5,10,8,0,15,0,46,19,1,35,9,2,100,5,3,13,5,4,85,33, 
10,5,10,9,0,17,0,55,6,1,48,0,2,60,11,3,88,9,4,100,10, 
10,5,10,9,0,17,0,100,41,1,30,10,2,30,2,3,16,0,4,37,5, 
10,5,10,8,1,30,0,57,5,1,100,33,2,50,0,3,89,23,4,32,12, 
10,5,10,9,0,21,0,57,1,1,100,25,2,99,16,3,79,19,4,4,0, 
10,5,10,8,1,38,0,62,18,1,62,16,2,41,0,3,100,27,4,89,17, 
10,5,10,8,1,23,0,66,6,1,66,5,2,75,32,3,100,48,4,99,0, 
10,5,10,8,0,26,0,96,19,1,100,10,2,21,0,3,92,10,4,55,5, 
10,5,10,8,0,22,0,57,18,1,98,11,2,52,29,3,100,16,4,74,10, 
10,5,10,9,0,44,0,68,23,1,95,22,2,100,58,3,99,64,4,66,5, 
10,5,10,9,0,24,0,50,5,1,96,5,2,28,0,3,37,0,4,100,21, 
10,5,10,8,0,15,0,5,0,1,17,0,2,5,0,3,51,19,4,100,5, 
10,5,10,7,0,16,0,34,4,1,100,4,2,47,3,3,61,3,4,43,20, 
10,5,10,8,0,38,0,93,28,1,99,67,2,99,23,3,36,12,4,100,21, 
10,5,10,8,0,13,0,100,37,1,36,12,2,63,0,3,24,10,4,36,6, 
10,5,10,8,0,14,0,52,9,1,100,10,2,58,17,3,96,18,4,79,5, 
10,5,10,8,0,17,0,99,24,1,70,0,2,100,5,3,99,17,4,18,0, 
