,,,,,Turns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,45,0,60,10,1,98,27,2,100,27,3,93,7,4,95,9, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,34,0,69,33,1,56,27,2,100,24,3,76,16,4,62,34, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,55,0,79,19,1,52,9,2,99,36,3,100,20,4,77,18, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,50,0,74,21,1,99,23,2,81,10,3,80,22,4,100,9, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,78,0,95,8,1,79,18,2,100,40,3,93,9,4,33,0, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,50,0,63,13,1,45,5,2,99,18,3,100,16,4,68,24, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,42,0,76,24,1,92,25,2,29,27,3,54,46,4,100,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,45,0,89,30,1,86,19,2,100,11,3,99,32,4,48,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,41,0,99,19,1,32,15,2,27,11,3,100,29,4,73,26, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,38,0,64,8,1,54,5,2,100,20,3,86,26,4,64,9, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,41,0,100,12,1,53,23,2,52,14,3,59,18,4,94,13, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,25,0,20,0,1,32,5,2,100,17,3,57,7,4,20,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,40,0,80,11,1,85,26,2,65,21,3,100,32,4,70,11, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,43,0,59,33,1,100,57,2,59,39,3,66,49,4,61,16, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,1,39,0,97,21,1,100,19,2,60,7,3,67,20,4,92,34, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,33,0,100,13,1,28,28,2,54,9,3,90,30,4,63,14, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,47,0,98,21,1,100,25,2,85,17,3,86,9,4,88,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,39,0,75,10,1,70,9,2,78,21,3,100,30,4,61,32, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,76,19,1,71,16,2,84,26,3,56,9,4,100,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,54,0,100,27,1,97,22,2,68,13,3,79,14,4,80,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,11,0,44,0,58,27,1,100,35,2,86,30,3,67,10,4,46,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,34,0,41,36,1,62,22,2,100,33,3,64,25,4,41,18, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,45,0,54,7,1,84,17,2,100,23,3,79,19,4,74,21, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,26,0,100,22,1,96,27,2,64,16,3,52,10,4,52,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,31,0,42,20,1,73,18,2,100,5,3,84,7,4,34,24, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,48,0,100,34,1,48,14,2,61,26,3,98,38,4,99,28, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,39,0,82,28,1,70,27,2,100,26,3,66,9,4,49,12, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,39,0,74,18,1,73,17,2,67,27,3,100,30,4,85,20, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,1,47,0,75,17,1,75,19,2,87,38,3,76,25,4,100,41, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,41,0,40,5,1,54,16,2,40,15,3,100,25,4,40,15, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,36,0,100,30,1,55,39,2,67,34,3,54,32,4,99,29, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,42,0,55,10,1,100,42,2,75,28,3,64,44,4,28,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,42,0,58,13,1,94,16,2,100,7,3,63,18,4,83,21, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,49,0,89,31,1,100,5,2,64,19,3,72,26,4,60,8, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,50,0,99,23,1,100,12,2,99,15,3,82,16,4,55,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,59,0,69,28,1,89,19,2,66,21,3,100,27,4,99,18, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,34,0,100,18,1,62,19,2,37,30,3,56,36,4,46,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,0,40,0,93,15,1,49,17,2,100,12,3,49,22,4,92,19, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,1,50,0,71,21,1,100,37,2,77,25,3,77,5,4,93,22, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,37,0,67,13,1,99,15,2,79,25,3,76,35,4,100,23, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,7,0,44,0,45,20,1,67,28,2,90,16,3,100,28,4,71,12, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,49,0,53,62,1,99,31,2,75,26,3,100,21,4,52,30, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,47,0,87,7,1,32,9,2,92,13,3,93,14,4,100,5, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,42,0,64,23,1,65,14,2,100,20,3,49,16,4,95,27, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,43,0,99,16,1,63,20,2,63,15,3,78,9,4,100,38, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,9,1,55,0,56,28,1,99,26,2,90,15,3,87,24,4,100,20, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,56,0,84,29,1,76,23,2,84,22,3,99,42,4,100,17, ,,,,,,,,,,,,,,,,,,,,,
10,5,4,8,0,37,0,72,19,1,72,19,2,29,10,3,47,5,4,100,16, ,,,,,,,,,,,,,,,,,,,,,
