5, 10, 6, 32, 0, 24, 0, 9, 6, 1, 15, 1, 2, 24, 5, 3, 25, 0, 4, 8, 0, 5, 4, 1, 6, 9, 3, 7, 17, 0, 8, 14, 0, 9, 10, 0, 
6, 10, 6, 20, 1, 55, 0, 31, 0, 1, 16, 3, 2, 29, 0, 3, 33, 3, 4, 36, 6, 5, 16, 6, 6, 33, 5, 7, 31, 2, 8, 24, 3, 9, 8, 0, 
7, 10, 6, 17, 0, 70, 0, 26, 0, 1, 45, 8, 2, 7, 0, 3, 9, 0, 4, 24, 11, 5, 46, 7, 6, 11, 0, 7, 9, 0, 8, 4, 0, 9, 49, 4, 
8, 10, 6, 16, 1, 174, 0, 48, 6, 1, 61, 5, 2, 40, 22, 3, 64, 10, 4, 39, 22, 5, 42, 17, 6, 63, 7, 7, 50, 16, 8, 44, 15, 9, 58, 2, 
9, 10, 6, 17, 0, 131, 0, 81, 20, 1, 19, 5, 2, 38, 12, 3, 19, 5, 4, 12, 8, 5, 41, 9, 6, 22, 5, 7, 71, 12, 8, 20, 13, 9, 36, 10, 
10, 10, 6, 18, 1, 231, 0, 100, 11, 1, 93, 10, 2, 97, 21, 3, 54, 16, 4, 62, 13, 5, 34, 5, 6, 73, 19, 7, 62, 9, 8, 99, 21, 9, 94, 9, 
20, 10, 6, 19, 2, 1149, 0, 318, 128, 1, 145, 130, 2, 385, 124, 3, 274, 91, 4, 293, 119, 5, 327, 101, 6, 295, 130, 7, 222, 129, 8, 400, 139, 9, 367, 134, 
30, 10, 6, 20, 4, 2811, 0, 900, 246, 1, 631, 265, 2, 622, 218, 3, 705, 211, 4, 508, 238, 5, 758, 193, 6, 851, 224, 7, 584, 242, 8, 754, 215, 9, 735, 285, 
40, 10, 6, 21, 7, 5546, 0, 1448, 471, 1, 1591, 527, 2, 1566, 464, 3, 1597, 477, 4, 1570, 424, 5, 1600, 353, 6, 1364, 438, 7, 1197, 532, 8, 1253, 501, 9, 1458, 514, 
50, 10, 6, 22, 4, 8902, 0, 2370, 754, 1, 2500, 757, 2, 2269, 749, 3, 2425, 786, 4, 2373, 863, 5, 2405, 777, 6, 2495, 876, 7, 2492, 881, 8, 2026, 772, 9, 2128, 718, 
60, 10, 6, 23, 5, 11423, 0, 3086, 1086, 1, 3055, 1019, 2, 3600, 934, 3, 2838, 1038, 4, 3095, 1118, 5, 3111, 1011, 6, 2987, 1034, 7, 3032, 989, 8, 3238, 964, 9, 3038, 1062, 
70, 10, 6, 25, 5, 17838, 0, 4462, 1548, 1, 4474, 1552, 2, 4727, 1548, 3, 4467, 1390, 4, 4801, 1525, 5, 4570, 1598, 6, 4478, 1393, 7, 4900, 1608, 8, 4407, 1498, 9, 4621, 1575, 
80, 10, 6, 30, 6, 22003, 0, 5915, 1831, 1, 5972, 1926, 2, 6400, 1763, 3, 5960, 1883, 4, 6385, 1907, 5, 6217, 1843, 6, 5844, 1902, 7, 5490, 1970, 8, 5442, 1901, 9, 6016, 2020, 
90, 10, 6, 19, 5, 29131, 0, 8100, 2697, 1, 8043, 2432, 2, 7422, 2598, 3, 7242, 2634, 4, 6699, 2541, 5, 7648, 2617, 6, 8099, 2811, 7, 7617, 2629, 8, 7190, 2442, 9, 7359, 2837, 
100, 10, 6, 22, 7, 35215, 0, 9221, 3056, 1, 8520, 2886, 2, 9753, 3165, 3, 9082, 3291, 4, 10000, 3158, 5, 8672, 3014, 6, 8162, 2571, 7, 9187, 3211, 8, 9643, 2964, 9, 9209, 3091, 
