mapLength,numberOfPlayers,diceMax,timeToBuildGame,timeToFinishGame,numberOfTurnsByPlayer,numberOfTurns,player1id,player1Pos,player1Coins,,,,,,,,,,,,,
10,5,6,8,0,55,271,0,100,32,1,99,23,2,90,12,3,86,0,4,77,5, 
10,5,6,9,0,47,233,0,70,12,1,93,14,2,100,49,3,80,31,4,65,13, 
10,5,6,9,0,36,179,0,72,24,1,42,5,2,66,20,3,100,19,4,75,29, 
10,5,6,10,0,37,183,0,66,0,1,58,11,2,100,34,3,96,0,4,53,14, 
10,5,6,11,0,27,131,0,100,21,1,49,9,2,80,15,3,69,12,4,64,34, 
10,5,6,10,1,33,162,0,88,6,1,100,11,2,47,0,3,95,7,4,30,5, 
10,5,6,8,0,37,185,0,77,20,1,51,17,2,50,18,3,81,38,4,100,14, 
10,5,6,8,1,47,232,0,99,13,1,100,6,2,98,15,3,66,13,4,66,12, 
10,5,6,9,0,28,139,0,82,14,1,80,14,2,99,62,3,100,27,4,83,15, 
10,5,6,9,0,35,175,0,91,36,1,89,53,2,97,15,3,55,31,4,100,22, 
10,5,6,8,1,34,170,0,72,4,1,38,15,2,50,16,3,46,10,4,100,26, 
10,5,6,10,0,44,217,0,12,0,1,100,74,2,49,17,3,68,3,4,88,40, 
10,5,6,21,0,33,162,0,55,12,1,100,45,2,54,12,3,46,6,4,62,8, 
10,5,6,11,0,26,129,0,94,16,1,33,16,2,70,20,3,100,16,4,36,18, 
10,5,6,11,0,38,188,0,57,10,1,7,0,2,100,27,3,55,8,4,77,30, 
10,5,6,9,0,29,141,0,100,16,1,99,14,2,85,24,3,82,10,4,99,22, 
10,5,6,9,0,46,228,0,63,15,1,91,34,2,100,10,3,63,20,4,79,25, 
10,5,6,9,0,57,285,0,67,13,1,89,5,2,77,16,3,77,20,4,100,34, 
10,5,6,9,0,43,214,0,97,22,1,87,13,2,91,17,3,100,27,4,97,30, 
10,5,6,9,0,43,215,0,86,43,1,49,5,2,84,36,3,99,27,4,100,34, 
10,5,6,10,0,30,148,0,93,14,1,70,12,2,100,40,3,76,37,4,67,23, 
10,5,6,8,0,37,185,0,98,76,1,24,0,2,61,27,3,39,19,4,100,24, 
10,5,6,9,0,30,147,0,76,11,1,100,30,2,62,0,3,71,21,4,99,25, 
10,5,6,9,0,42,207,0,71,9,1,100,26,2,89,27,3,99,10,4,54,4, 
10,5,6,9,0,27,131,0,100,28,1,99,17,2,49,15,3,20,1,4,54,8, 
10,5,6,9,0,22,107,0,43,0,1,100,6,2,51,9,3,19,1,4,57,0, 
10,5,6,9,0,30,146,0,100,35,1,70,15,2,71,22,3,94,24,4,26,26, 
