10, 10, 6, 40, 2, 202, 0, 97, 15, 1, 100, 19, 2, 65, 22, 3, 82, 30, 4, 90, 27, 5, 84, 40, 6, 78, 31, 7, 95, 19, 8, 89, 26, 9, 80, 25, 
10, 10, 6, 22, 2, 186, 0, 96, 36, 1, 51, 31, 2, 89, 33, 3, 83, 28, 4, 91, 24, 5, 100, 19, 6, 95, 18, 7, 79, 23, 8, 88, 30, 9, 57, 34, 
10, 10, 6, 21, 1, 141, 0, 100, 10, 1, 35, 20, 2, 48, 17, 3, 43, 9, 4, 31, 6, 5, 75, 15, 6, 67, 5, 7, 60, 24, 8, 43, 3, 9, 88, 10, 
10, 10, 6, 20, 2, 224, 0, 96, 28, 1, 72, 25, 2, 87, 24, 3, 100, 16, 4, 95, 18, 5, 89, 22, 6, 99, 29, 7, 90, 18, 8, 84, 26, 9, 92, 33, 
10, 10, 6, 19, 1, 174, 0, 94, 28, 1, 79, 22, 2, 69, 13, 3, 100, 19, 4, 52, 42, 5, 76, 12, 6, 91, 15, 7, 82, 19, 8, 93, 19, 9, 64, 18, 
20, 10, 6, 20, 2, 829, 0, 394, 63, 1, 293, 87, 2, 358, 69, 3, 301, 92, 4, 393, 85, 5, 295, 91, 6, 369, 84, 7, 398, 63, 8, 400, 108, 9, 379, 73, 
20, 10, 6, 20, 3, 998, 0, 365, 88, 1, 398, 74, 2, 274, 88, 3, 371, 65, 4, 380, 84, 5, 345, 90, 6, 305, 74, 7, 400, 105, 8, 391, 119, 9, 307, 91, 
20, 10, 6, 19, 2, 1018, 0, 314, 77, 1, 339, 103, 2, 389, 87, 3, 376, 98, 4, 355, 85, 5, 318, 86, 6, 391, 75, 7, 400, 72, 8, 398, 77, 9, 392, 85, 
20, 10, 6, 19, 3, 857, 0, 348, 54, 1, 368, 86, 2, 351, 76, 3, 379, 93, 4, 374, 102, 5, 343, 110, 6, 400, 59, 7, 398, 73, 8, 333, 96, 9, 313, 77, 
20, 10, 6, 19, 1, 1007, 0, 375, 110, 1, 350, 77, 2, 355, 96, 3, 364, 66, 4, 380, 81, 5, 321, 85, 6, 400, 91, 7, 338, 82, 8, 385, 74, 9, 372, 82, 
30, 10, 6, 19, 1, 2075, 0, 810, 171, 1, 825, 153, 2, 897, 206, 3, 857, 189, 4, 900, 178, 5, 679, 184, 6, 681, 187, 7, 744, 169, 8, 879, 162, 9, 881, 191, 
30, 10, 6, 19, 1, 2191, 0, 900, 191, 1, 795, 166, 2, 872, 175, 3, 875, 189, 4, 852, 192, 5, 754, 173, 6, 739, 209, 7, 770, 186, 8, 899, 168, 9, 752, 166, 
30, 10, 6, 19, 1, 2093, 0, 882, 201, 1, 768, 230, 2, 900, 209, 3, 797, 194, 4, 826, 193, 5, 856, 246, 6, 807, 191, 7, 877, 251, 8, 819, 226, 9, 855, 242, 
30, 10, 6, 19, 1, 2174, 0, 884, 207, 1, 792, 237, 2, 812, 230, 3, 900, 246, 4, 850, 198, 5, 875, 205, 6, 812, 229, 7, 811, 233, 8, 898, 209, 9, 856, 203, 
