10, 10, 6, 95, 1, 340, 0, 32, 4, 1, 98, 21, 2, 54, 14, 3, 32, 0, 4, 5, 0, 5, 54, 13, 6, 97, 30, 7, 32, 2, 8, 8, 0, 9, 100, 25, 
10, 10, 6, 22, 0, 225, 0, 75, 25, 1, 37, 0, 2, 57, 20, 3, 32, 30, 4, 100, 6, 5, 60, 20, 6, 67, 19, 7, 13, 0, 8, 50, 27, 9, 47, 33, 
10, 10, 6, 19, 1, 410, 0, 99, 32, 1, 82, 5, 2, 59, 4, 3, 97, 15, 4, 89, 1, 5, 59, 6, 6, 90, 8, 7, 84, 2, 8, 64, 0, 9, 100, 14, 
10, 10, 6, 22, 1, 309, 0, 82, 28, 1, 93, 29, 2, 95, 15, 3, 54, 4, 4, 54, 19, 5, 96, 17, 6, 59, 10, 7, 82, 5, 8, 100, 20, 9, 62, 19, 
10, 10, 6, 19, 0, 288, 0, 64, 0, 1, 99, 18, 2, 50, 2, 3, 7, 1, 4, 51, 0, 5, 72, 12, 6, 94, 27, 7, 100, 20, 8, 54, 0, 9, 32, 0, 
20, 10, 6, 22, 2, 1556, 0, 305, 76, 1, 379, 75, 2, 248, 74, 3, 249, 65, 4, 233, 42, 5, 400, 74, 6, 396, 63, 7, 395, 85, 8, 322, 50, 9, 291, 50, 
20, 10, 6, 19, 2, 1865, 0, 270, 40, 1, 314, 48, 2, 348, 70, 3, 246, 43, 4, 400, 174, 5, 252, 42, 6, 276, 58, 7, 399, 95, 8, 390, 85, 9, 395, 112, 
20, 10, 6, 22, 2, 1581, 0, 400, 84, 1, 291, 63, 2, 357, 97, 3, 298, 58, 4, 159, 59, 5, 399, 123, 6, 399, 60, 7, 228, 48, 8, 342, 48, 9, 314, 55, 
20, 10, 6, 18, 2, 1598, 0, 262, 79, 1, 354, 70, 2, 297, 58, 3, 272, 46, 4, 297, 73, 5, 233, 61, 6, 280, 95, 7, 400, 82, 8, 334, 67, 9, 340, 104, 
20, 10, 6, 19, 3, 1476, 0, 391, 64, 1, 265, 56, 2, 278, 50, 3, 357, 56, 4, 206, 19, 5, 400, 70, 6, 357, 50, 7, 343, 43, 8, 307, 58, 9, 236, 62, 
30, 10, 6, 26, 2, 3307, 0, 751, 175, 1, 578, 130, 2, 735, 132, 3, 517, 98, 4, 675, 140, 5, 677, 169, 6, 900, 234, 7, 640, 174, 8, 869, 207, 9, 652, 180, 
30, 10, 6, 18, 2, 3512, 0, 613, 168, 1, 900, 214, 2, 738, 149, 3, 750, 161, 4, 815, 198, 5, 724, 197, 6, 721, 143, 7, 690, 152, 8, 747, 175, 9, 894, 183, 
30, 10, 6, 19, 1, 3583, 0, 666, 108, 1, 826, 151, 2, 900, 135, 3, 652, 157, 4, 809, 116, 5, 776, 174, 6, 626, 159, 7, 833, 160, 8, 590, 157, 9, 816, 121, 
30, 10, 6, 20, 1, 4105, 0, 843, 163, 1, 794, 187, 2, 899, 184, 3, 772, 141, 4, 900, 224, 5, 804, 95, 6, 806, 192, 7, 717, 144, 8, 894, 165, 9, 806, 150, 
30, 10, 6, 18, 1, 3924, 0, 691, 163, 1, 777, 152, 2, 898, 165, 3, 900, 248, 4, 706, 105, 5, 640, 123, 6, 847, 179, 7, 792, 195, 8, 886, 212, 9, 857, 162, 
40, 10, 6, 19, 1, 6848, 0, 1341, 300, 1, 1319, 282, 2, 1562, 347, 3, 1176, 255, 4, 1327, 291, 5, 1218, 245, 6, 1377, 347, 7, 1600, 320, 8, 1044, 234, 9, 1291, 354, 
