,,,,,Turn,,,,,,,,,,,,,,,,
10,5,20,7,0,29,0,99,28,1,100,5,2,29,0,3,97,27,4,97,28, 
10,5,20,8,0,22,0,100,15,1,7,0,2,99,26,3,87,5,4,97,0, 
10,5,20,7,0,9,0,85,48,1,99,25,2,100,0,3,38,10,4,25,5, 
10,5,20,8,0,18,0,99,53,1,100,23,2,55,0,3,60,10,4,34,0, 
10,5,20,8,0,23,0,13,0,1,100,15,2,70,5,3,99,69,4,47,0, 
10,5,20,9,0,15,0,100,25,1,30,0,2,36,0,3,99,14,4,36,0, 
10,5,20,7,0,18,0,83,17,1,38,10,2,38,7,3,100,99,4,93,5, 
10,5,20,9,0,10,0,21,0,1,30,5,2,100,0,3,86,10,4,85,19, 
10,5,20,9,0,16,0,100,50,1,2,0,2,76,47,3,25,5,4,97,0, 
10,5,20,8,1,9,0,70,13,1,100,41,2,31,5,3,58,3,4,63,20, 
10,5,20,8,0,7,0,100,23,1,26,0,2,24,5,3,61,19,4,6,0, 
10,5,20,10,0,12,0,81,16,1,100,15,2,13,0,3,17,0,4,70,23, 
10,5,20,8,0,38,0,94,95,1,100,146,2,88,68,3,59,18,4,98,84, 
10,5,20,8,0,21,0,96,5,1,18,0,2,97,65,3,6,0,4,100,11, 
10,5,20,9,0,9,0,15,0,1,96,1,2,9,0,3,100,7,4,52,7, 
10,5,20,9,0,7,0,61,12,1,17,0,2,17,0,3,35,19,4,100,5, 
10,5,20,9,0,8,0,22,0,1,30,1,2,100,34,3,33,0,4,7,0, 
10,5,20,9,0,11,0,7,0,1,21,0,2,18,0,3,100,36,4,3,0, 
10,5,20,9,0,23,0,24,0,1,100,10,2,32,0,3,32,0,4,96,16, 
10,5,20,8,1,53,0,80,41,1,49,0,2,32,0,3,100,0,4,99,18, 
10,5,20,9,0,16,0,80,20,1,80,18,2,58,25,3,100,96,4,92,54, 
10,5,20,9,0,24,0,79,20,1,98,2,2,100,25,3,46,0,4,35,0, 
10,5,20,9,0,49,0,54,5,1,71,30,2,100,3,3,19,0,4,57,29, 
10,5,20,9,0,11,0,21,0,1,54,5,2,100,10,3,21,0,4,23,0, 
10,5,20,8,0,23,0,17,0,1,97,0,2,48,0,3,100,35,4,81,26, 
10,5,20,9,0,19,0,99,48,1,100,5,2,96,28,3,9,0,4,99,30, 
10,5,20,9,0,35,0,70,16,1,67,15,2,100,21,3,94,43,4,84,67, 
10,5,20,8,0,8,0,100,5,1,43,20,2,79,10,3,90,5,4,12,0, 
10,5,20,8,0,37,0,99,15,1,13,0,2,49,10,3,99,7,4,100,16, 
10,5,20,9,0,31,0,100,100,1,67,14,2,99,72,3,99,107,4,97,20, 
10,5,20,8,0,24,0,100,18,1,32,0,2,80,16,3,19,0,4,73,20, 
10,5,20,8,0,13,0,24,0,1,98,49,2,66,22,3,100,1,4,66,16, 
10,5,20,8,0,7,0,77,26,1,77,0,2,16,1,3,100,19,4,41,0, 
10,5,20,8,1,10,0,43,9,1,100,10,2,36,0,3,26,9,4,10,5, 
10,5,20,8,0,20,0,29,0,1,89,35,2,29,10,3,100,66,4,98,102, 
10,5,20,8,0,10,0,78,29,1,100,34,2,86,5,3,83,30,4,90,21, 
10,5,20,9,0,33,0,16,0,1,35,5,2,83,15,3,48,0,4,100,5, 
10,5,20,9,0,22,0,99,19,1,99,18,2,99,24,3,100,0,4,76,27, 
10,5,20,8,0,22,0,62,5,1,100,31,2,12,0,3,99,20,4,74,11, 
10,5,20,8,0,35,0,8,0,1,99,36,2,97,15,3,99,6,4,100,30, 
10,5,20,9,0,26,0,99,0,1,98,40,2,13,0,3,98,103,4,100,30, 
10,5,20,9,0,21,0,96,25,1,99,11,2,16,0,3,100,9,4,98,40, 
10,5,20,8,0,14,0,100,25,1,32,5,2,42,8,3,80,52,4,51,0, 
10,5,20,9,0,21,0,19,0,1,75,30,2,100,48,3,98,65,4,42,5, 
10,5,20,8,0,11,0,67,5,1,72,8,2,11,0,3,100,14,4,19,4, 
10,5,20,7,0,16,0,100,5,1,99,0,2,93,13,3,19,20,4,19,0, 
10,5,20,8,0,13,0,100,10,1,45,0,2,99,18,3,11,0,4,38,7, 
10,5,20,8,0,35,0,79,13,1,97,10,2,100,23,3,33,2,4,98,72, 
10,5,20,9,0,34,0,18,0,1,18,0,2,99,30,3,11,0,4,100,0, 
10,5,20,9,0,15,0,39,0,1,31,14,2,98,11,3,100,7,4,98,25, 
10,5,20,9,0,7,0,13,0,1,61,0,2,10,0,3,16,5,4,100,5, 
10,5,20,8,0,22,0,100,1,1,95,45,2,46,7,3,3,0,4,99,5, 
10,5,20,8,0,25,0,97,13,1,54,22,2,100,10,3,97,20,4,99,10, 
10,5,20,8,0,18,0,51,10,1,94,24,2,100,5,3,49,0,4,97,20, 
10,5,20,8,0,9,0,63,14,1,100,0,2,20,0,3,20,0,4,17,0, 
10,5,20,8,0,24,0,94,17,1,16,0,2,98,0,3,100,85,4,98,75, 
10,5,20,8,0,10,0,100,0,1,18,4,2,77,4,3,8,0,4,57,0, 
10,5,20,8,0,11,0,67,28,1,25,0,2,100,36,3,17,0,4,27,5, 
10,5,20,9,0,13,0,99,38,1,77,15,2,100,55,3,61,0,4,33,0, 
10,5,20,8,0,24,0,45,0,1,100,0,2,57,5,3,94,5,4,84,5, 
10,5,20,8,0,25,0,100,8,1,94,42,2,92,62,3,13,0,4,13,0, 
10,5,20,8,0,14,0,86,5,1,100,5,2,69,21,3,10,1,4,80,10, 
10,5,20,8,0,19,0,22,0,1,95,23,2,100,35,3,22,6,4,98,65, 
10,5,20,8,0,16,0,98,16,1,100,13,2,25,0,3,25,7,4,96,37, 
10,5,20,8,0,11,0,33,15,1,87,30,2,21,0,3,49,0,4,100,24, 
10,5,20,8,0,13,0,95,5,1,29,0,2,6,0,3,100,0,4,72,10, 
10,5,20,8,0,26,0,42,7,1,8,0,2,100,60,3,52,0,4,54,0, 
10,5,20,8,0,35,0,97,21,1,94,0,2,22,23,3,99,0,4,100,45, 
10,5,20,10,0,12,0,92,10,1,25,0,2,79,23,3,100,10,4,18,0, 
10,5,20,9,0,26,0,46,21,1,32,0,2,100,16,3,46,0,4,98,76, 
10,5,20,9,0,16,0,93,64,1,88,67,2,100,11,3,52,5,4,6,0, 
10,5,20,9,0,31,0,99,9,1,23,0,2,32,27,3,100,40,4,23,0, 
10,5,20,8,0,16,0,100,13,1,91,71,2,98,29,3,38,25,4,92,6, 
10,5,20,8,0,45,0,17,4,1,99,5,2,80,20,3,65,0,4,100,29, 
10,5,20,8,0,11,0,97,30,1,11,0,2,28,0,3,96,25,4,100,0, 
10,5,20,8,0,12,0,48,0,1,100,5,2,99,0,3,73,25,4,34,24, 
10,5,20,8,0,9,0,39,0,1,20,0,2,15,0,3,20,0,4,100,24, 
10,5,20,9,0,12,0,34,16,1,19,0,2,46,12,3,67,0,4,100,4, 
10,5,20,7,0,19,0,72,30,1,100,8,2,62,10,3,99,0,4,59,5, 
10,5,20,8,0,17,0,98,29,1,32,11,2,40,11,3,100,15,4,99,14, 
10,5,20,8,0,11,0,52,0,1,47,31,2,29,17,3,100,0,4,16,0, 
10,5,20,9,0,15,0,96,15,1,95,14,2,15,0,3,96,0,4,100,7, 
10,5,20,9,0,32,0,35,0,1,65,5,2,100,15,3,65,8,4,19,0, 
10,5,20,8,1,15,0,79,42,1,39,0,2,93,7,3,27,12,4,100,19, 
10,5,20,8,0,9,0,13,0,1,66,5,2,20,15,3,20,0,4,100,0, 
10,5,20,9,0,17,0,100,10,1,25,0,2,99,34,3,98,5,4,91,22, 
10,5,20,9,0,9,0,74,15,1,100,46,2,8,0,3,73,5,4,8,0, 
10,5,20,9,0,16,0,100,5,1,89,5,2,49,10,3,53,5,4,22,0, 
10,5,20,9,0,30,0,100,4,1,48,16,2,99,41,3,17,0,4,74,15, 
10,5,20,9,0,23,0,97,0,1,63,18,2,96,77,3,100,0,4,91,20, 
10,5,20,8,0,17,0,100,21,1,98,25,2,23,0,3,28,18,4,73,5, 
10,5,20,8,0,9,0,19,0,1,100,1,2,25,5,3,78,32,4,3,0, 
10,5,20,8,0,15,0,100,28,1,21,2,2,64,8,3,98,19,4,97,27, 
10,5,20,8,0,21,0,97,15,1,41,29,2,92,19,3,48,0,4,100,15, 
10,5,20,8,0,12,0,94,20,1,13,0,2,17,14,3,100,33,4,29,0, 
10,5,20,8,0,16,0,98,45,1,7,0,2,100,0,3,99,12,4,34,10, 
10,5,20,8,0,45,0,74,5,1,73,25,2,100,49,3,99,32,4,73,20, 
10,5,20,8,0,22,0,100,30,1,90,85,2,97,0,3,87,50,4,51,0, 
10,5,20,8,0,14,0,70,10,1,100,33,2,90,17,3,54,10,4,40,27, 
10,5,20,8,0,11,0,53,17,1,84,22,2,91,23,3,16,0,4,100,5, 
10,5,20,8,1,19,0,42,0,1,56,14,2,96,19,3,100,24,4,76,23, 
10,5,20,9,0,7,0,100,20,1,27,0,2,22,0,3,70,5,4,22,5, 
10,5,20,8,0,54,0,75,10,1,100,56,2,5,15,3,40,25,4,75,14, 
10,5,20,8,0,22,0,100,64,1,10,2,2,65,29,3,99,16,4,13,0, 
10,5,20,8,0,23,0,99,59,1,40,5,2,99,40,3,31,0,4,100,40, 
10,5,20,8,0,27,0,90,29,1,100,15,2,61,0,3,82,10,4,98,47, 
10,5,20,8,0,14,0,100,71,1,78,5,2,22,0,3,20,0,4,55,0, 
10,5,20,8,0,14,0,23,0,1,100,53,2,29,0,3,40,0,4,50,0, 
10,5,20,9,0,38,0,100,5,1,69,13,2,99,0,3,79,62,4,96,34, 
10,5,20,7,0,12,0,100,29,1,39,0,2,26,5,3,77,33,4,74,11, 
10,5,20,8,1,11,0,100,5,1,91,5,2,61,3,3,34,0,4,77,24, 
10,5,20,21,0,20,0,95,7,1,98,30,2,96,0,3,100,0,4,41,0, 
10,5,20,9,1,18,0,77,10,1,93,25,2,100,50,3,96,9,4,98,24, 
10,5,20,9,0,17,0,100,6,1,11,0,2,13,0,3,13,0,4,96,67, 
10,5,20,8,0,39,0,99,83,1,91,1,2,22,5,3,100,5,4,34,5, 
10,5,20,9,0,11,0,88,14,1,69,0,2,99,11,3,100,5,4,35,0, 
10,5,20,8,1,15,0,93,20,1,89,10,2,100,15,3,35,0,4,56,5, 
10,5,20,9,0,24,0,98,21,1,55,10,2,98,20,3,100,25,4,77,0, 
10,5,20,8,0,14,0,95,45,1,30,18,2,100,22,3,94,27,4,34,0, 
10,5,20,9,0,42,0,57,0,1,98,24,2,96,66,3,100,10,4,14,0, 
10,5,20,9,0,11,0,100,95,1,33,9,2,97,8,3,33,0,4,33,5, 
10,5,20,10,0,11,0,34,7,1,49,3,2,100,23,3,34,9,4,34,5, 
10,5,20,8,0,22,0,100,0,1,45,5,2,49,5,3,36,16,4,52,7, 
10,5,20,9,0,20,0,53,0,1,67,0,2,100,0,3,97,20,4,35,0, 
10,5,20,58,0,8,0,71,12,1,35,0,2,100,20,3,54,18,4,85,6, 
10,5,20,11,0,14,0,78,28,1,100,17,2,86,0,3,67,11,4,93,72, 
10,5,20,15,0,25,0,30,0,1,100,72,2,11,16,3,99,21,4,99,21, 
10,5,20,11,0,23,0,40,0,1,79,1,2,52,14,3,98,10,4,100,33, 
10,5,20,10,1,23,0,38,16,1,98,55,2,98,47,3,100,0,4,49,0, 
10,5,20,9,0,28,0,53,6,1,99,21,2,34,1,3,28,13,4,100,69, 
10,5,20,8,0,13,0,95,5,1,8,0,2,96,44,3,100,20,4,50,14, 
10,5,20,7,0,21,0,94,32,1,94,85,2,100,0,3,97,56,4,97,0, 
10,5,20,8,0,10,0,98,5,1,25,0,2,100,28,3,77,5,4,59,16, 
10,5,20,8,0,19,0,33,14,1,98,36,2,100,13,3,60,23,4,9,0, 
10,5,20,7,0,22,0,20,0,1,5,0,2,100,24,3,98,96,4,77,0, 
10,5,20,8,0,7,0,60,5,1,86,19,2,46,5,3,78,18,4,100,19, 
10,5,20,8,0,30,0,100,5,1,52,0,2,30,0,3,99,0,4,99,5, 
